;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AON Master Trust;Public offer;Retail;General base;Equity Trustees Superannuation Limited;Financial services corporation ownership;For profit status;183 662;5 212 887;72 017;111 645;;;1 768 443;3 444 444;;;2 044;15 200;23 842;11 641;8 721;6 102;2 967;1 043;323;*;*;;9 201;177 918;479 699;310 645;260 797;231 861;149 207;86 649;34 756;*;*;;2 859;21 051;34 866;17 767;14 102;11 166;6 333;2 460;759;*;*;;12 361;234 065;679 717;548 134;534 287;602 531;431 124;220 404;118 228;*;*;
Aracon Superannuation Fund;Public offer;Retail;General base;Aracon Superannuation Pty Ltd;Financial services corporation ownership;For profit status;1 071;333 818;587;484;;;181 956;151 862;;;*;*;*;*;27;26;106;113;123;125;*;;*;*;*;*;5 663;7 880;31 129;41 802;48 418;36 724;*;;*;*;*;*;21;28;43;100;108;120;*;;*;*;*;*;4 207;10 164;17 176;38 333;31 430;42 036;*;
ASGARD Independence Plan Division Two;Public offer;Retail;General base;BT Funds Management Limited;Financial services corporation ownership;For profit status;211 940;22 934 010;*;*;;*;*;12 955 168;;*;3 765;16 185;19 610;9 381;7 634;7 445;7 866;7 402;6 759;6 581;*;*;17 073;340 327;969 381;672 162;693 178;1 017 693;1 589 605;1 800 165;1 560 981;1 221 412;*;*;5 062;21 627;25 816;12 616;10 658;10 260;9 894;8 114;6 763;6 818;*;*;27 938;498 173;1 543 164;1 167 147;1 261 963;1 684 870;1 914 487;1 876 349;1 587 952;1 272 354;*;*
Australia Post Superannuation Scheme;Non public offer;Public Sector;Government base;PostSuper Pty Ltd;Other ownership type;Not for profit status;31 577;6 957 400;12 727;18 850;;0;2 293 898;4 648 502;;15 000;*;509;1 818;1 919;2 326;2 711;1 925;994;388;*;*;;*;38 249;218 607;295 761;436 167;595 997;408 789;207 735;71 397;*;*;;*;684;2 328;2 443;3 267;4 051;3 236;1 725;785;*;*;;*;50 659;312 270;485 713;840 295;1 228 207;968 183;495 431;194 981;*;*;
Australia's Unclaimed Super Fund;Public offer;Retail - ERF;General base;Industry Funds Investments Ltd;Financial services corporation ownership;For profit status;921 264;1 355 184;399 532;517 313;;4 419;585 648;766 179;;3 357;13 383;99 819;127 217;54 063;38 941;29 648;18 658;9 971;4 177;1 451;130;2 074;14 368;118 132;170 198;96 130;76 466;57 588;29 474;14 434;5 725;1 445;209;1 479;25 693;144 868;148 868;64 437;47 342;36 629;23 585;13 477;6 196;2 668;275;3 275;26 557;175 049;207 221;114 030;86 872;70 887;42 546;26 951;9 546;3 430;409;2 681
Australian Catholic Superannuation and Retirement Fund;Public offer;Industry;Industry base;SCS Super Pty. Limited;Employer sponsor (non-public sector) ownership;Not for profit status;91 590;9 095 139;67 979;*;;*;6 059 560;*;;*;4 099;11 189;14 186;8 578;8 059;7 535;6 606;4 502;2 291;*;*;;16 244;334 757;802 194;627 696;760 444;993 871;1 082 954;842 797;435 011;*;*;;2 494;3 756;3 807;2 197;2 050;2 295;2 879;2 146;1 300;*;*;;6 832;110 015;325 318;285 465;321 229;479 142;674 237;453 906;258 693;*;*;
Australian Defence Force Superannuation Scheme;Non public offer;Public Sector;Government base;Commonwealth Superannuation Corporation;Public sector organisation ownership;Not for profit status;15 789;281 441;*;*;*;;*;206 798;*;;2 869;1 117;218;63;37;*;*;*;;;;;35 428;27 550;7 950;2 223;1 087;*;*;*;;;;;7 497;2 789;581;178;149;*;*;*;*;;;;91 132;67 134;19 551;7 647;7 889;*;*;*;*;;;
Australian Eligible Rollover Fund;Public offer;Retail - ERF;General base;Perpetual Superannuation Limited;Financial services corporation ownership;For profit status;242 844;565 057;104 758;138 086;;;213 601;351 456;;;646;10 227;37 921;22 283;14 420;10 653;6 786;1 232;294;244;*;*;696;9 275;54 806;54 803;44 526;28 187;15 939;3 200;1 425;695;*;*;755;12 703;46 231;28 310;20 078;16 501;10 332;2 041;553;503;*;*;923;11 436;67 553;73 665;74 643;64 295;42 076;10 703;3 379;2 674;*;*
Australian Ethical Retail Superannuation Fund;Public offer;Retail;General base;Australian Ethical Superannuation Pty Ltd;Financial services corporation ownership;For profit status;43 079;2 258 333;23 880;19 161;;38;1 130 541;1 127 680;;112;2 887;7 910;6 452;2 191;1 553;1 232;845;492;208;*;*;;10 318;180 014;330 744;148 496;120 316;126 662;94 418;76 360;27 933;*;*;;2 071;6 263;5 205;1 935;1 286;1 005;676;408;214;*;*;;6 963;146 635;324 952;175 010;143 008;128 460;102 321;59 446;29 229;*;*;
Australian Meat Industry Superannuation Trust;Public offer;Industry;Industry base;Australian Meat Industry Superannuation Pty Ltd;Nominating organisation ownership;Not for profit status;69 931;2 304 462;17 556;52 375;;;456 311;1 848 151;;;2 764;5 286;3 742;1 767;1 569;1 266;741;310;*;*;;*;9 380;52 692;98 444;63 423;71 608;71 708;47 840;29 634;*;*;;*;9 125;16 721;11 485;5 015;3 581;2 936;1 993;972;*;*;*;*;41 718;262 688;452 715;288 181;243 209;241 793;174 497;86 181;*;*;*;*
AustralianSuper;Public offer;Industry;General base;AustralianSuper Pty Ltd;Nominating organisation ownership;Not for profit status;2 155 463;166 103 397;860 195;1 294 863;;405;55 509 504;110 569 437;;24 456;113 640;208 203;190 674;90 900;78 896;72 238;54 916;31 725;14 115;4 624;238;26;577 004;5 097 179;10 236 144;6 754 386;6 959 891;8 162 402;7 954 288;5 936 089;2 853 213;946 435;32 421;52;171 392;316 758;292 342;132 866;114 851;105 135;80 893;47 729;23 232;9 145;496;24;928 099;9 189 054;20 906 818;14 150 770;15 073 281;17 456 037;15 383 552;10 148 096;5 256 932;1 999 403;77 317;78
Avanteos Superannuation Trust;Public offer;Retail;General base;Avanteos Investments Limited;Financial services corporation ownership;For profit status;30 014;9 451 989;14 414;15 600;;;4 306 635;5 145 354;;;57;404;1 136;915;1 029;1 465;2 468;2 654;2 128;1 950;208;;514;22 041;119 789;152 725;221 916;468 932;868 334;1 022 999;776 919;601 465;51 001;;95;493;1 368;1 126;1 239;1 597;2 391;2 677;2 197;2 130;287;;3 963;32 891;175 789;227 324;332 559;637 685;1 038 076;1 114 537;839 278;670 982;72 270;
AvSuper Fund;Public offer;Public Sector;Corporate base;AvSuper Pty Ltd;Financial services corporation ownership;Not for profit status;6 340;2 179 996;1 620;4 720;;;379 304;1 800 692;;;27;244;359;269;195;188;166;97;53;*;*;;283;17 155;49 390;69 972;58 479;72 335;56 931;33 612;16 217;*;*;;66;670;990;618;524;684;485;437;202;*;*;;788;60 036;183 244;237 804;247 951;455 895;288 571;226 477;84 886;*;*;
AvWrap Retirement Service;Public offer;Retail;General base;I.O.O.F. Investment Management Limited;Financial services corporation ownership;For profit status;1 172;435 156;593;579;;;203 335;231 821;;;;*;29;*;28;54;96;107;100;143;*;;;*;3 683;*;7 894;20 112;50 145;37 484;35 769;37 945;*;;*;*;25;*;31;55;90;103;94;130;*;;*;*;4 324;*;10 659;24 815;52 855;45 745;34 936;47 357;*;
Boc Gases Superannuation Fund;Non public offer;Corporate;Corporate base;BOC Superannuation Pty Ltd;Financial services corporation ownership;Not for profit status;3 239;734 630;944;2 295;;;139 650;594 980;;;*;181;270;144;101;91;55;46;*;*;*;;*;7 907;27 431;22 539;21 272;17 823;16 825;15 083;*;*;*;;*;293;464;315;308;335;241;153;*;57;*;;*;17 161;63 297;66 731;92 792;145 646;94 618;63 583;*;21 357;*;
Building Unions Superannuation Scheme (Queensland);Public offer;Industry;Industry base;BUSS (Queensland) Pty Ltd;Nominating organisation ownership;Not for profit status;80 467;5 020 068;5 653;74 814;;;399 938;4 620 130;;;639;1 092;1 166;657;556;539;439;317;162;*;*;;8 118;25 509;54 570;47 194;38 273;51 778;61 497;61 406;29 810;*;*;;7 593;18 607;18 567;9 078;7 398;6 288;4 279;1 925;760;*;*;*;66 341;619 843;1 152 922;667 798;628 178;607 319;467 777;250 642;112 847;*;*;*
Care Super;Public offer;Industry;Industry base;CARE Super Pty Ltd;Financial services corporation ownership;Not for profit status;245 598;16 124 329;140 084;104 845;;669;8 393 057;7 726 486;;4 786;12 722;28 003;33 263;18 219;15 421;13 411;9 636;5 675;2 697;870;167;;47 954;610 937;1 579 564;1 186 106;1 206 545;1 289 289;1 152 791;801 957;386 505;127 266;4 144;;11 150;23 370;25 218;12 629;10 409;8 825;6 614;3 719;1 894;818;199;;44 988;540 758;1 556 118;1 132 504;1 125 761;1 176 026;1 004 485;646 901;328 261;165 263;5 420;
Challenger Retirement Fund;Public offer;Retail;General base;Challenger Retirement and Investment Services Limited;Financial services corporation ownership;For profit status;4 030;621 788;2 159;1 871;;;336 164;285 624;;;;*;*;34;51;102;212;370;470;662;228;;;*;*;1 314;5 648;20 233;56 888;83 048;82 417;73 507;12 615;;;*;*;31;40;57;167;273;398;579;293;;;*;*;2 147;3 212;6 871;48 193;67 792;73 792;63 995;19 034;
Christian Super;Public offer;Industry;Industry base;Christian Super Pty Limited;Employer sponsor (non-public sector) ownership;Not for profit status;28 082;1 584 845;16 578;11 429;;75;778 368;802 064;;4 413;1 802;2 931;3 969;2 108;1 814;1 633;1 249;689;282;101;;;4 820;58 586;153 189;105 267;112 289;122 435;119 250;66 808;25 708;10 016;;;1 548;1 995;2 262;1 110;1 085;1 077;1 063;690;403;*;*;;3 768;50 201;147 680;100 452;111 844;115 914;130 814;76 360;44 521;*;*;
Citibank Australia Staff Superannuation Fund;Non public offer;Corporate;Corporate base;Citibank Australia Staff Superannuation Pty Limited;Employer sponsor (non-public sector) ownership;Not for profit status;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
ClearView Retirement Plan;Public offer;Retail;General base;ClearView Life Nominees Pty Limited;Financial services corporation ownership;For profit status;41 120;1 991 291;*;*;;*;*;1 078 632;;*;148;2 848;4 861;2 219;1 947;1 504;1 015;776;988;1 275;*;;167;5 167;23 591;35 194;52 519;69 190;123 977;202 471;205 104;184 747;*;;184;3 672;6 297;2 955;2 629;2 447;1 725;933;860;1 532;*;;80;7 976;39 869;50 353;63 172;104 017;169 636;195 734;206 309;226 894;*;
Club Plus Superannuation Scheme;Public offer;Industry;Industry base;Club Plus Superannuation Pty Ltd;Nominating organisation ownership;Not for profit status;76 764;2 909 840;38 976;37 788;;;1 321 020;1 588 820;;;7 043;8 474;7 996;3 935;3 603;3 606;2 538;1 177;467;*;*;*;28 790;135 596;222 480;153 504;181 845;225 978;196 985;113 045;48 568;*;*;*;7 336;9 007;7 501;3 600;2 884;2 856;2 420;1 251;653;*;*;*;30 084;165 596;293 867;203 902;203 136;248 031;226 228;135 737;61 203;*;*;*
Club Super;Non public offer;Industry;Industry base;Club Plus QLD Pty Ltd;Other ownership type;Not for profit status;20 918;587 484;11 749;9 169;;;303 015;284 469;;;2 168;2 648;2 531;1 250;1 016;1 015;658;334;104;*;*;*;8 047;33 827;54 150;40 493;41 921;52 287;39 072;25 586;6 402;*;*;*;1 914;2 251;1 934;871;648;644;437;276;154;*;*;*;6 898;33 366;59 223;40 934;38 163;43 868;29 681;20 873;9 594;*;*;*
Colonial First State FirstChoice Superannuation Trust;Public offer;Retail;General base;Colonial First State Investments Limited;Financial services corporation ownership;For profit status;720 423;80 012 944;*;*;;*;*;46 567 126;;*;15 529;49 125;56 139;28 406;25 317;25 824;30 113;30 349;25 463;21 099;*;;80 565;1 145 909;2 930 009;2 191 454;2 430 425;3 461 306;5 673 896;6 670 742;5 113 046;3 502 162;*;;21 992;67 512;81 299;40 408;35 845;36 315;39 269;34 216;27 263;24 168;*;;107 300;1 735 487;5 296 479;3 995 934;4 365 599;5 849 054;7 534 367;7 294 721;5 783 792;4 230 463;*;
Colonial First State Rollover & Superannuation Fund;Public offer;Retail;General base;Colonial First State Investments Limited;Financial services corporation ownership;For profit status;29 642;2 742 228;*;*;;*;*;1 627 833;;*;*;*;1 414;2 512;2 804;2 265;1 303;751;696;1 835;402;;*;*;87 649;188 870;244 327;210 059;122 482;66 808;55 177;115 586;18 501;;*;*;1 576;2 140;2 595;2 806;1 914;1 062;803;1 898;648;;*;*;128 806;229 232;309 962;356 809;243 237;120 377;75 992;125 328;31 291;
Colonial Super Retirement Fund;Public offer;Retail;General base;Colonial Mutual Superannuation Pty. Ltd.;Financial services corporation ownership;For profit status;81 496;3 348 269;29 399;52 097;;;1 144 072;2 204 197;;;;138;4 162;4 913;5 905;5 432;3 780;1 435;761;1 927;946;;;3 264;77 047;154 070;219 561;217 140;147 027;88 180;53 259;134 885;49 639;;*;*;5 403;7 536;10 266;11 578;8 783;2 848;1 411;2 152;1 881;;*;*;128 354;215 502;366 215;487 516;417 689;199 359;109 576;167 400;108 745;
CommInsure Corporate Insurance Superannuation Trust;Public offer;Retail;Corporate base;Diversa Trustees Limited;Financial services corporation ownership;For profit status;7 036;0;2 385;4 651;;;0;0;;;123;949;818;227;131;92;*;*;0;;;;0;0;0;0;0;0;*;*;0;;;;109;1 235;1 683;623;482;327;*;*;*;;;;0;0;0;0;0;0;*;*;*;;;
Commonwealth Bank Approved Deposit Fund;Public offer;Retail;General base;Colonial Mutual Superannuation Pty. Ltd.;Financial services corporation ownership;For profit status;1 406;9 787;695;711;;;4 955;4 832;;;;;;49;227;257;162;;;;;;;;;89;816;1 656;2 394;;;;;;;;;45;196;231;239;;;;;;;;;96;630;1 659;2 447;;;;;
Commonwealth Bank Group Super;Non public offer;Corporate;Corporate base;Commonwealth Bank Officers Superannuation Corporation Pty Limited;Employer sponsor (non-public sector) ownership;Not for profit status;73 385;11 772 815;42 838;30 547;;;5 377 941;6 394 874;;;1 842;9 980;12 823;5 746;4 314;3 172;2 164;1 095;409;477;816;;19 542;416 595;1 097 480;885 855;907 985;813 304;566 939;305 080;123 337;125 848;115 976;;1 475;7 120;8 969;3 805;2 785;2 200;1 575;917;612;503;586;;14 514;345 022;1 018 672;790 566;866 436;1 073 797;852 301;556 072;395 360;317 347;164 787;
Commonwealth Essential Super;Public offer;Retail;General base;Colonial First State Investments Limited;Financial services corporation ownership;For profit status;272 352;3 777 756;119 793;152 559;;;1 329 640;2 448 116;;;23 730;61 482;19 271;5 693;3 964;2 819;1 715;710;300;*;*;;88 474;517 956;334 415;129 209;96 823;81 296;48 238;21 856;8 718;*;*;;26 674;76 308;27 757;7 725;5 314;4 017;2 618;1 383;533;*;*;;112 240;873 881;729 218;248 872;184 364;146 109;91 993;41 535;15 277;*;*;
Construction & Building Unions Superannuation;Public offer;Industry;Industry base;United Super Pty Ltd;Nominating organisation ownership;Not for profit status;766 494;50 991 210;68 309;697 777;;408;4 068 312;46 917 266;;5 632;8 606;15 712;14 498;8 113;7 180;6 156;4 207;2 511;1 062;*;*;;35 987;353 560;703 782;542 437;573 757;623 916;562 486;429 463;186 807;*;*;;108 909;192 180;148 982;70 576;60 323;52 659;36 124;18 340;7 402;*;*;*;738 072;6 381 948;10 613 118;6 712 297;6 615 293;6 809 886;4 929 143;2 626 980;1 128 909;*;*;*
Crescent Wealth Superannuation Fund;Public offer;Retail;General base;Equity Trustees Superannuation Limited;Financial services corporation ownership;For profit status;8 860;246 995;*;*;;*;*;188 730;;*;492;1 294;866;198;134;57;26;*;*;*;*;;1 288;17 671;22 567;6 313;6 218;2 782;962;*;*;*;*;;559;2 099;2 266;397;236;124;57;*;*;*;;;1 596;41 334;92 232;24 033;17 033;8 413;2 606;*;*;*;;
Crown Employees (NSW Fire Brigades Firefighting Staff Death & Disability) Superannuation Fund;Non public offer;Public Sector;Government base;NSW Fire Brigades Superannuation Pty Limited;Public sector organisation ownership;Not for profit status;6 659;0;613;6 046;;;0;0;;;39;220;192;80;47;*;*;*;;;;;0;0;0;0;0;*;*;*;;;;;197;1 121;1 630;1 084;931;*;*;*;*;*;;;0;0;0;0;0;*;*;*;*;*;;
CSS Fund;Non public offer;Public Sector;Government base;Commonwealth Superannuation Corporation;Public sector organisation ownership;Not for profit status;111 894;0;*;*;;*;*;0;;*;*;*;24;*;1 358;3 248;4 617;6 182;7 322;13 147;12 639;*;*;*;0;*;0;0;0;0;0;0;0;*;*;;*;*;1 845;4 816;8 099;11 672;12 745;15 360;8 288;;*;;*;*;0;0;0;0;0;0;0;
CUBS Superannuation Fund;Public offer;Retail;General base;Equity Trustees Superannuation Limited;Financial services corporation ownership;For profit status;1 301;76 794;515;786;;;23 288;53 506;;;65;60;73;57;70;60;51;32;*;*;*;;208;923;2 063;1 155;1 995;2 383;4 739;4 444;*;*;*;;71;108;114;61;72;93;89;75;*;*;*;;342;1 841;4 165;3 006;3 808;6 345;14 305;9 451;*;*;*;
Definitive Superannuation Plan;Public offer;Retail;General base;Macquarie Investment Management Ltd;Financial services corporation ownership;For profit status;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
Deseret Benefit Plan for Australia;Non public offer;Corporate;Corporate base;The Trustees for Licence L0002219;Other ownership type;Not for profit status;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
DIY Master Plan;Public offer;Retail;General base;Diversa Trustees Limited;Financial services corporation ownership;For profit status;7 065;419 575;2 884;4 181;;;177 800;241 775;;;717;1 312;221;93;*;93;109;92;87;*;*;;1 339;6 165;11 575;11 700;*;17 275;26 023;37 824;29 609;*;*;;957;1 759;497;205;*;117;116;138;187;*;*;;2 951;19 019;33 207;18 169;*;24 703;38 038;36 438;27 793;*;*;
Dow Australia Superannuation Fund;Non public offer;Retail;Corporate base;Towers Watson Superannuation Pty Ltd;Financial services corporation ownership;For profit status;297;85 977;101;196;;;18 261;67 716;;;;21;29;*;*;*;*;*;*;;;;;429;2 587;*;*;*;*;*;*;;;;*;24;28;*;*;*;*;*;*;;;;*;503;3 473;*;*;*;*;*;*;;;
DPM Retirement Service;Public offer;Retail;General base;Nulis Nominees (Australia) Limited;Financial services corporation ownership;For profit status;437;59 042;220;217;;;31 305;27 737;;;;*;*;*;*;*;*;30;59;82;*;;;*;*;*;*;*;*;4 481;8 518;11 727;*;;;*;*;*;*;*;*;32;36;98;*;;;*;*;*;*;*;*;5 504;3 821;11 268;*;
Encircle Superannuation Fund;Public offer;Retail;General base;Avanteos Investments Limited;Financial services corporation ownership;For profit status;5 766;2 198 137;2 905;2 861;;;1 089 269;1 108 868;;;*;*;85;84;123;271;527;629;558;540;59;;*;*;11 152;15 675;30 152;109 003;216 168;251 695;221 515;206 856;21 218;;*;*;106;90;134;258;496;600;513;534;100;;*;*;15 871;21 496;42 688;115 064;236 194;242 457;205 609;199 329;27 230;
Energy Industries Superannuation Scheme-Pool A;Public offer;Public Sector;Government base;Energy Industries Superannuation Scheme Pty Ltd;Nominating organisation ownership;Not for profit status;19 440;3 839 384;*;*;;*;*;3 064 693;;*;304;662;1 122;631;443;517;517;389;228;*;*;;1 338;27 441;124 520;95 630;76 244;100 357;141 961;123 220;63 862;*;*;;983;3 115;3 340;1 519;1 105;1 258;1 367;890;619;*;*;;8 432;247 170;547 336;312 474;260 710;424 883;528 459;376 960;245 066;*;*;
Energy Industries Superannuation Scheme-Pool B;Non public offer;Public Sector;Government base;Energy Industries Superannuation Scheme Pty Ltd;Nominating organisation ownership;Not for profit status;2 720;1 975 377;262;2 458;;;118 714;1 856 663;;;*;;*;48;46;66;24;*;*;29;*;;*;;*;19 887;19 041;33 867;18 970;*;*;6 565;*;;*;;*;286;443;636;397;*;*;185;*;;*;;*;165 109;296 982;533 559;359 321;*;*;101 151;*;
Energy Super;Public offer;Industry;Industry base;Electricity Supply Industry Superannuation (QLD) Ltd;Public company ownership;Not for profit status;48 422;7 380 282;8 822;39 600;;;1 327 326;6 052 956;;;633;1 354;1 974;1 055;879;914;733;588;425;*;*;;3 944;58 648;189 633;147 088;140 043;199 733;216 143;187 375;125 104;*;*;;4 439;9 529;8 969;4 069;3 500;3 317;2 743;1 534;862;*;*;;38 864;465 704;1 014 507;670 616;802 137;1 032 173;943 877;555 284;315 375;*;*;
equipsuper;Public offer;Industry;General base;Togethr Trustees Pty Ltd;Other ownership type;Not for profit status;72 845;14 977 890;21 221;51 624;;;2 747 498;12 230 392;;;854;4 524;6 740;2 927;2 165;1 770;1 167;662;313;99;;;6 834;206 455;646 626;415 363;400 936;398 002;318 452;218 595;104 595;31 640;;;1 692;9 381;13 115;6 935;6 422;5 915;4 198;2 363;1 152;*;*;;18 442;568 257;1 680 220;1 453 891;1 916 659;2 497 157;2 022 574;1 202 396;640 404;*;*;
Factory Mutual Insurance Company Superannuation Fund;Public offer;Retail;Corporate base;Equity Trustees Superannuation Limited;Financial services corporation ownership;For profit status;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
Fiducian Superannuation Fund;Public offer;Retail;General base;Fiducian Portfolio Services Limited;Financial services corporation ownership;For profit status;6 243;1 435 158;3 120;3 123;;;667 946;767 212;;;20;98;223;196;239;302;450;480;416;607;89;;149;4 250;18 612;22 382;33 133;80 332;134 514;133 381;106 345;125 286;9 562;;33;111;215;210;264;413;434;426;370;537;110;;315;6 606;24 769;35 045;57 839;135 915;141 480;127 403;111 493;113 792;12 555;
Fire and Emergency Services Superannuation Fund;Non public offer;Public Sector;Government base;Fire and Emergency Services Superannuation Board;Public sector organisation ownership;Not for profit status;2 327;665 116;547;1 780;;;76 604;588 512;;;*;62;123;78;59;65;44;45;*;*;*;;*;2 831;10 306;8 627;7 291;10 546;10 627;12 699;*;*;*;;*;274;379;226;203;222;184;88;*;*;*;;*;19 162;61 034;67 582;93 047;142 946;112 465;46 500;*;*;*;
